"","comicName","comicSum","comicGrade"
"637","버드맨 (bird-man)","하늘은 날아 댕기는 마술사 지망생","9.68"
"638","뉴클리어맨","본격 한국 히어로","9.64"
"639","나는엄마다","고등학생의 나이에 엄마가된 소녀!!","9.83"
"640","25세 요술공주","시공초월판타지","9.76"
"641","어느 베개의 이야기","베개. 그 주변 사람들의 삶에 관하여.","9.78"
"642","애플 다이너마이트","본격 러브코미디","9.78"
"643","앵두야, 연애하자","연애와 삶이 쉬울 수 있을까?","9.85"
"644","스위치히터","청년백수 구의원이 되다!","9.69"
"645","취급주의","다섯 아이들의 미친 세상 생존 일기!","9.72"
"646","미모(美母)를 찾아서","미혼모 이야기","9.88"
"647","안녕 도쿄","어쩌면 당신이 모르는 도쿄 이야기","9.80"
"648","LOVE FICTION","사랑, 추억, 흔적.","9.73"
"649","그곳에우리가있었다","붉은빛깔 우리","9.70"
"650","사랑해요 누나..","완결!","9.82"
"651","원 뿔러스 원","뿔달린 녀석들.","9.84"
"652","언령","나의 말이 그대로 실현된다.","9.41"
"653","윈드브레이커","스트릿라이더이야기","9.85"
"654","솔로가 하는 연애","솔로들의 썸씽","9.70"
"655","바이스","판타지 액션","9.82"
"656","발로 그린 이야기,","발로 그린 듯!?","9.82"
"657","백은아란전","소년의 무림생존기!","9.67"
"658","묘진전","기묘한 동양판타지","9.86"
"659","치국이야기","치국이야기","9.86"
"660","숲의노래 : 영혼이 잠드는 숲","귀신,사람,무당,그리고태주...","9.83"
"661","BREEZE (브리즈)","도깨비감투이야기","9.39"
"662","쏠쏠한 일기","오질이와 0숙","9.81"
"663","소년,소녀에게 묻는다.","소소묻","9.45"
"664","크로우","아자 인터렉티브","9.82"
"665","평범한 8반","웰메이드 병맛","9.62"
"666","달콤한 계절","첫사랑 이야기.","9.36"
"667","흉터","연애만화.","9.86"
"668","죄를 삼키는 들꽃","'당분간'자유연재","9.78"
"669","IF","판타지!","9.61"
"670","아첼레란도","천재가 타고 나는 건, 할 수 있는 ‘재능’이 아니라, 하고자 하는 ‘욕구’이다","9.76"
"671","그리고 우울증","우울증 생활기","9.86"
"672","다미:고!","복권홀릭 다미","9.86"
"673","천사라네","인간과 천사 악마의 이야기","9.81"
"674","Full Metal Wing","드래곤, 드래곤 라이더 이야기.","9.85"
"675","스너프 게임","스너프 게임   그림 : 조마피 / 글 : 이썬","9.49"
"676","신입사원 김용사씨","용사의 현실 적응기","9.86"
"677","트러블 앤 트리플","평범한 판타지","9.83"
"678","소년들은 무엇을 하고 있을까","소년들은 무엇을 하고 있을까","9.85"
"679","스펠 SPELL","초자연적인 대상들과 직면한 보통의 인간들","9.79"
"680","늘 푸른 찻집","달콤 쌉싸름한 그들만의 청춘이야기","9.85"
"681","나는 귀신과 결혼했다","가난한 백수 시절 돈 때문에 영혼결혼식을 올린 이수. 그가 귀신을 상대로 이혼 소송을 낸다?!!","9.52"
"682","아무래도 기사는 아닌 것 같아","생계형 판타지","9.85"
"683","할라피뇨와 겁쟁이","연애물을가장한무언가","9.83"
"684","더 캐슬","정치액션 판타지!!","9.74"
"685","월한강청록","날라리 무당파 도사의 무협기행록","9.86"
"686","길 위에서","만화가가 되는 길!","9.71"
"687","나만 모르는 이야기","혼자인 사람들의 이야기","9.79"
"688","재온","재온 만화집","9.80"
"689","사랑 사랑 내사랑","희대의왕세자 양녕대군","9.74"
"690","블랙보이","용사와 마족","9.76"
"691","하루달콤 하루쌉싸름","추억 속 음식 이야기","9.86"
"692","그런 만화가가 있었다","그런 만화가가 있었다.","9.56"
"693","백설녀와 나무꾼","한국에 사는 동화인들의 이야기. 금요연재.","9.87"
"694","여동생은 로봇","여동생이 택배로 왔다!! 그런데 여동생은 로봇?","9.80"
"695","아무래도 좋은 이야기","황당하고 재밌는 이야기들 거기에 감동(?) 까지!","9.67"
"696","멀리서 보면, 푸른 봄","이십대 드라마","9.86"
"697","튄공","각기 다른 문제로 제자리에 멈춰버린 네 명의 청춘들, 그들이 만나 길거리 농구대회 우승이라는 목표를 가지고 전국을 여행하기 시작한다.","9.81"
"698","망자카페","죽음이 그려내는 따뜻하고 슬픈 이야기","9.78"
"699","디바인 안드로메다","이계 체험기","9.86"
"700","누설","초능력시대극. 영매들의 새인생 이야기","9.84"
"701","카니발-Carnival-","느와르 액션물.","9.85"
"702","사일런스","본격 오컬트 만화!","9.81"
"703","L.C.S.F","LOVE COMEDY SCIENCE FICTION FANTASY","9.81"
"704","지구별통신","지구의 어느 곳을 여행하고 보내는, 지구별통신 :)","9.66"
"705","심해의 조각들","　","9.79"
"706","진지 드셨어요?","아뇨(진지)","9.76"
"707","못난오리","오리에서 백조로!!!","9.84"
"708","살인자","누가 살인자인가.","9.86"
"709","조각일기","하루하루 조각 일기","9.77"
"710","마스크폴리스","얼굴을 덮어","9.84"
"711","달래주러 왔습니다","아픔과 치료","9.57"
"712","짐승의 맛","인간이 되고싶은 냄새나는 물고기, 그리고 천재 조향사","9.82"
"713","꽃보다 요지경","본격 인문학 웹툰! 꽃보다 요지경!","9.46"
"714","유령라이프","잉여로운 유령과 그 친구들이 사는(?) 이야기.","9.86"
"715","개화여자정보고등학교","여고일상만화","9.80"
"716","썸씽","연애는 글로 배웠어요.","9.86"
"717","소원의 조각","하랑이에게소원을!","9.79"
"718","테임","길들여진.....","9.50"
"719","마더어스","그들이 원하는 세상","9.49"
"720","옥탑방마녀","초보마녀의 인간생활적응기","9.80"
"721","유자의 오늘","소소한 일상","9.86"
"722","정상 컴플렉스","알고보면 평범한 사람들의 이야기","9.87"
"723","알트","알트,쉬프트","9.79"
"724","이런 카페 처음이야","카페 판타지 스릴러","9.87"
"725","마녀수업","마녀수업","9.86"
"726","숨은, 고양이 찾기","다시","9.85"
"727","DAWN 여명 - 트와일라이트 2부","황혼 2부","9.85"
"728","공부할 시간","엘리트들의 두뇌싸움","9.83"
"729","길리","길리는 종종 살인충동에 휩싸이곤 한다","9.87"
"730","트웰브","시간을 지배하는 자가 세상을 지배한다!!","9.83"
"731","기묘한 책방","특이한 책방이야기","9.85"
"732","상냥들","캠퍼스 로맨스","9.74"
"733","빙하기 사람들","코믹스릴러","9.75"
"734","악마도 의무교육 받습니다!","악마도 받는 의무교육!","9.87"
"735","커피와 스무디","설탕 한 스푼 소금 한 스푼","9.86"
"736","얼짱의 이중생활","완결!","9.79"
"737","장인의 나라","목요일!","9.84"
"738","어떤 화랑의 아가씨와 용의 이야기","조용한 판타지","9.86"
"739","사각사각","캐나다 워킹홀리데이+디자이너 생존기","9.86"
"740","사랑의 기술","매주토요일연재","9.66"
"741","오나미",".","7.55"
"742","이 여자가 덕후로 사는 것","이렇게 살고있는 덕후도 있다고 합디다~","9.62"
"743","우리들의 다섯걸음","청소년 성장 (아침)드라마","9.62"
"744","겨울X거울","소년, 소녀를 만나다.","9.56"
"745","자이언트(THE HERO)","거인, 그의 역사","9.73"
"746","버퍼링","SF스릴러","9.85"
"747","사랑은 햄스터를 타고","라부라부판타지","9.85"
"748","히키(HicKey)","천사와 악마로 인해 바뀌어 버린 일상! 그리고 그들의 이야기.","9.85"
"749","시간선 完","만월의 날에 관한 미스테리서스펜스","9.80"
"750","고스트 컴퍼니","악마잡는회사","9.85"
"751","숲속마을 친구들","개그 로맨스","9.87"
"752","무색소녀","로맨스아닌데","9.85"
"753","후원자","어느날 1억이생겼다","9.76"
"754","[캠핑툰] 햇살이 따스해!","캠핑의 매력에 빠져드는 낭만중년 양동이네의 웃음가득 캠핑 라이프 스토리.","9.75"
"755","만하생","만화가 지망 문하생의 생활 노트","9.86"
"756","행월이야기","행월이야기","9.72"
"757","갱스타즈(Gangstaaz)","힙합/랩만화","9.64"
"758","그녀 찾아 삼만리","그녀를 찾아서!","9.71"
"759","도깨비 낭자","도깨비와 도깨비와 사람","9.77"
"760","뉴트리아","뉴트리아세계","9.68"
"761","어서옵셔, 식당입니다.","당신이 머문자리는 아름답나요?","9.39"
"762","렛츠","일상에서의 판타지","9.65"
"763","어느 토요일 밤의 무지개","어느 토요일 밤, 밝은 빛과 함께 그들이 내려왔다. 그리고 7년 후...","9.81"
"764","충무공","충무공이 현재에 부활한다. 로봇으로.","9.13"
"765","BooBoo's Zoo(부부의 동물원)","반려가족들의 이야기","9.71"
"766","펄스나인","축구에 꿈을 건 소년들의 성장 드라마.","9.49"
"767","미묘한 이야기","미묘하다 [형용사] 뚜렷하지 않고 야릇하고 묘하다.","9.44"
"768","밀레니엄 헌터","2000년 세상은 신화속 괴물들의 놀이터가 된다.","9.87"
"769","나비, 물고기","나비,물고기,그녀 그리고 그들","9.81"
"770","초딩생활2<달탐정발명대>","초딩생활","9.64"
"771","모두의 추억","2002월드컵","9.80"
"772","아벨","어느 왕의 검부터 시작된 전설","9.52"
"773","마음을 전해 드립니다.","마음을 전해 드립니다.","9.83"
"774","[톡툰]","어른으로 살기","9.61"
"775","상상고양이","김경","9.86"
"776","최고의 콤비","천사와 악마가 지상에서 만났다!","9.80"
"777","코크싸이더",".","9.78"
"778","절대신의 유희","사후세계 판타지","9.85"
"779","포갓레인저","변신액션히어로","9.76"
"780","동물소대","내 인생의 한 번뿐인 순간","9.46"
"781","아띠아노","카툰/아띠아노","9.36"
"782","망각의 주인","망각의 판타지.","9.87"
"783","심박수1280","사이코 순정 로맨스","9.73"
"784","우주교도소 바다붐","우주교도소 바다붐에서 펼쳐지는 죄수들의 이야기.","9.80"
"785","모태솔로수용소","감옥만화","9.72"
"786","미궁","미궁 프로젝트","9.82"
"787","오늘도 무사히,","보통사람 이야기","9.63"
"788","애플시나몬","나만 몰랐던 이야기.","9.86"
"789","동양의 색","동양의 색","9.78"
"790","은빛 고릴라","변신 동물들 이야기","9.60"
"791","윈터우즈","동화같은이야기","9.86"
"792","달이 빛나는 밤에","달의 도깨비의 이야기","9.78"
"793","꽁치가 파닥파닥","꽁치의 육지살이.","9.69"
"794","할로우 포인트","판타지입니다.","9.85"
"795","몬스터즈 하우스","이상한 괴물들","9.88"
"796","NEXUS","심부름회사NEXUS","9.87"
"797","살신성인","좀비의 학교생활","9.85"
"798","딸기와 밀크티","예대 청춘 로맨스!","9.74"
"799","그들의 방식","현대이능력판타지","9.83"
"800","보글보글챱챱","잘먹겠습니다.","9.80"
"801","신수의 주인","액션남녀러브로망스","9.82"
"802","DEAD DAYS","- 좀비 스릴러 - 우린 살아 남을 수 있을까?","9.82"
"803","7번국도아이","추억은 마음속의 보석이다. 보석 같은 이야기를 찾아가는 7번국도 아이.","9.83"
"804","덕과의 동침","오덕남편과의 일상","9.87"
"805","하나마나","만화일기","9.86"
"806","황금 장미","은빛요정의 로맨스판타지","9.84"
"807","도전!만화가!!","만화가를 꿈꾸는 만화가지망생들의 도전!!","8.80"
"808","달달한 러브컬렉션","러브컬렉션","9.83"
"809","불만시대","누구에게나 불만은 있다","9.63"
"810","여자의 마음","너희가 결혼한 여자의 마음을 알아?!","9.62"
"811","마지막 피터팬","성장통로맨스♥","9.85"
"812","우리집에 귀신이 사는것 같아","무서운 이야기","9.80"
"813","씁쓸남 유남생","출퇴근 감성의 공감...씁쓸하다.","9.81"
"814","엘리자베스1호","안드로이드와 박사님","9.85"
"815","에스카토스","진범을 찾아라","9.87"
"816","변기통 로맨스","모태솔로 로맨스","9.81"
"817","마로이야기","말하는 개 마로와 평범한 여대생 순지의 이야기","9.85"
"818","리솔루토","판타지","9.73"
"819","코기의 취향","'함께 밥을 먹으면서 정이 쌓인다.'","9.85"
"820","Two Coffins (투카핀스)","세사람과 두개의관","9.64"
"821","비비디 바비디 덕","비바덕♪","9.82"
"822","비트윈","비밀속의 연애","9.78"
"823","특허소년","특별히 허락한 소년","9.87"
"824","그런만화","개그 만화!","9.85"
"825","수치스러운 애정행각","정식연재","9.81"
"826","청춘거지클럽","가난한 청춘들의 캠퍼스 생존 로맨스 코미디","9.78"
"827","드림웨폰","악몽사냥꾼들 이야기","9.83"
"828","선녀가온 나나","현대의 인간세상으로 내려온 선녀들의 이야기","9.84"
"829","이프","판타지.","9.85"
"830","하푸하푸","물범 하푸와 북극곰 꾸꼼, 펭귄 귄귄이의 이야기","9.85"
"831","문신","문신 판타지 소년만화","8.63"
"832","blooming(블루밍)","꽃이 만발한,지독한","9.87"
"833","졸래동화","병맛의 진수를 그대에게","9.83"
"834","봄여름가을겨울 떡집",".","9.82"
"835","애니마","영결합배틀물","9.83"
"836","어느 오래된 도서관의 비밀","어느 오래된 도서관에서 펼쳐지는 이야기.","9.86"
"837","이상한 나라의 더 이상한 앨리스","남자 앨리스","9.77"
"838","푸드 포스 레인저","푸드 포스 레인저","9.81"
"839","그것은 어느날","참꽃마리","9.85"
"840","Princess of Dream","꽃미남 아이돌 총출동","9.85"
"841","바다의 노래","사랑, 믿슙니까?","9.43"
"842","말하지 않는다.","이거슨..신세계?","9.76"
"843","월야에 우는 새","◀최종 공지!","9.81"
"844","비창","퓨전판타지","9.76"
"845","스톰힐 다이어리","하이틴 유학로맨스","9.86"
"846","기안84 회고록","내가 바라본 기안84 이야기","9.85"
"847","아씨와 나","산에서 내려온 삼식이의 인간세상 경험 에피소드","9.86"
"848","두근거려요","첫 번째 사랑의 실패로 겁쟁이가 된 여자.","9.85"
"849","Please Me, Please","판타지 순정.","9.78"
"850","평일의 나","평일에 뭐하세요?","9.86"
"851","애니멀'즈 매거진","엉뚱,4차원,발랄,초깜찍(?) 대한민국 2%가 살아가는 이야기","9.79"
"852","여고생이 좋아요","여고연애물","9.87"
"853","19평 사바나","야생으로 가자!","9.54"
"854","괴물아가씨","괴물들의 이야기","9.74"
"855","魂지킴이","상처받은 영혼에 위로를.....","9.77"
"856","야수의 노래","저승 모험을 그린 한국형 판타지","9.83"
"857","기래믹스","멍청하고 부끄러운 일상들.","9.76"
"858","GO! GO! 1학년 8반!!!","능곡고등학교 1학년 8반!! 범상치 않은 신입생들의 신나는 스쿨라이프!!","9.52"
"859","(핫샷)HOTSHOT[?]","HOTSHOT웹툰","9.76"
"860","내가 엄마라니","엄마가 되어버렸어요.","9.87"
"861","아침나라의 꽃","1930년대, 일제강점기로 타임리프한 여고생 이야기","9.85"
"862","카이만","판타지입니다.","9.84"
"863","슈퍼랑","천랑, 화랑, 이랑 새로운 슈퍼 영웅의 탄생!","9.63"
"864","로키 (Loki)","로키의 모험","9.86"
"865","부처핸접","신개념 갱생 웹툰","9.83"
"866","망월선녀설화","선녀와 나무꾼, 그들의 끝나지 않은 이야기","8.98"
"867","오늘의 온도","오늘의 온도는 몇 도입니까?","9.85"
"868","나는 평범하지 않다","순정만화","9.88"
"869","비스트(beast)","정통 액션 환타지","9.78"
"870","소동헌을 위한 기록","에필로그","9.73"
"871","피터팬의 웬디","현대판 피터팬과 웬디","9.85"
"872","설레는 기분","두근두근♡","9.85"
"873","위기의 범죄자","범죄 심리극","9.86"
"874","너의 목소리가 보여","우리말 사랑 웹툰","9.86"
"875","보통회사 이야기","보통 한 집단마다 한 명의 또라이가 있다고 한다. 그런데 이 회사에는…","8.96"
"876","아버지와 아들","철부지 아빠의 아빠놀이","9.75"
"877","블랙","세상 은 하얗고 삶 은 어둡다.","9.48"
"878","솔라보이","광합성하는식물소년!","9.78"
"879","조조할인","새와 사람","9.87"
"880","알타고","한국고전판타지","9.79"
"881","쌍둥이네","쌍둥이 신비감제로!","9.87"
"882","모아세 (모두가 아름다워진 세상)","성형,외모","9.86"
"883","레드군","소년 모험 만화!","9.50"
"884","11월에 내리는 설이","용우와 소설, 시간의 이야기.","9.73"
"885","밴디지!","현실상륙작전. 이대로 미지근한 불시착이 될 것인가, 아니면 시동을 걸고 스스로 날아오를 것인가! 밴드로 치유하는 우리들의 상처, 조금은 어설픈 희망재활 프로젝트, 밴디지!","9.68"
"886","몽유병","몽유병에 걸린 한 남자의 이야기","9.73"
"887","잉문학","잉여+인문학=잉문학","9.84"
"888","치킨,신이된닭","맥주를 좋아하는 닭이 치킨이 되어가는 과정","9.81"
"889","제가 그냥 보라색을 좋아하는데요(제.그.보.)","일상욕망 콜렉터!  + 천사/악마 지망생","9.86"
"890","히어로즈 플랜B","H.P.B","9.85"
"891","수상한복학생","ST☆R별","9.85"
"892","리얼 러브","학원 일상스토리","9.87"
"893","거꾸로-툰","내려갔다 올라가는 만화. 거꾸로 다시보면 새롭게 보이는 반전 만화","9.85"
"894","아내의 그녀","위기의 부부에게 찾아온 의문의 그녀!","9.86"
"895","그 날, 이후의 세계","16년 뒤로","9.84"
"896","편의점의 마법사","일상 판타지","9.89"
"897","자유부인","자유부인과 점년이의 지적인 싼티의 마력","9.86"
"898","건축카페 종이집","소녀의 건축여행기","9.77"
"899","여자가 더 좋아하는 연애","하는 연애","9.86"
"900","ADHD 생활기","ADHD를 갖고 있는 줄 모른 채 어른이 된 사람들","9.76"
"901","Mrs. Alice","어느날 사라져버린 엄마. 기억속에 숨겨져 있던 엄마의 진짜 모습을 찾아나선 조엘.","9.81"
"902","윙즈 - 영광을 위한 날개","드래곤과 창공의 세계","9.85"
"903","영광에 매이다","은톨이와 도깨비","9.74"
"904","여탕보고서","여탕의 진실","9.85"
"905","그리드(Greed)","숲속으로 도망간 소년, 사람의 발길이 끊긴 그 곳에서 벌어지는 일들을 그린 스릴러물.","9.87"
"906","여도지죄","만남과 이별 사이","9.83"
"907","늑대와의 동침","인기 아이돌 '크라운'의 리더 공재윤과의 아슬아슬 동거생활!","9.86"
"908","씁쓸한 하루","어떻게든 되겠지","9.83"
"909","푸디와 친구들","푸디의 카페 만들기 좌충우돌!","7.81"
"910","내 소울메이트는 어디있을까","내 인연은 어디에?","9.87"
"911","다크써클 몸빼바지","육식마녀","9.81"
"912","꽃보다 찬란한","코믹,로맨스♡","9.76"
"913","글더하기그림","짧은만화","9.82"
"914","인생 삼파전","조폭 김창식의 인생역전 임업도전기!!","9.74"
"915","공복의 저녁식사","매일매일 맛있는 음식","9.85"
"916","에르데","에르데 - 세상을 구하는 엘프이야기","9.79"
"917","인간의 조건","여우이야기","9.87"
"918","꼴통명문 구린고","일상코믹스쿨라이프","9.85"
"919","과일종합선물세트","본격 과일들이 썸타는 만화","9.85"
"920","괴발개발","16마리 반려동물이야기","9.86"
"921","비스트 사인","여장소년 수난기","9.66"
"922","1+1=3","여성이 포식자가 되어버린 망가진 세계에 떨어진 사람들. 그들의 생존, 집착, 사랑 이야기","9.87"
"923","로고스","마몬형제의 이야기","9.64"
"924","소리다이어리","20년째 다이어리질","9.78"
"925","고예섬 방문일지","동서고금무 판타지","9.83"
"926","외모지상주의","매주 토요일 연재","9.86"
"927","유리구두의 비밀","메르헨판타지 자유연재","9.76"
"928","블러드블랙","뱀파이어?!","9.86"
"929","EMPIRE(제국)","판타지 드라마","9.60"
"930","약하지않아","최약체 몬스터들의 모험","9.80"
"931","연정가","조선시대 슬픈 사랑이야기","9.48"
"932","어쩌지 남여","츤츤이와 준이","9.79"
"933","빗자루도깨비 태비 (리메이크 전)","도깨비 이야기","9.85"
"934","마장박 다이어리","마장박의 일상....","8.87"
"935","디어비스","슈퍼히어로물","9.69"
"936","그림술사","요괴와술사의이야기","9.87"
"937","이너옥터","불만 많은 우주 여행기","9.87"
"938","햄스터만 바라보다","햄스터의 매력에 흠뻑♥","9.87"
"939","내 마음의 음유시인","마지막공연","9.86"
"940","냥모나이트","냥이와 여자사람의 동거툰","9.84"
"941","지옥문","한밤 중 아파트 옥상에서 들리는 정체불명의 소음?","9.86"
"942","인생은꿈맛","인도여행기 업뎃중","9.38"
"943","은퇴한 히어로","백수 히어로의 일상","9.85"
"944","숨","연재 종료","9.86"
"945","달수이야기","총체적난국 주의","9.86"
"946","오가닉하게 우프!","오가닉한 두 여자의 영국우프 체험기!","9.85"
"947","그 섬에 바보들이 산다","자유연재중입니다.","9.83"
"948","이별만화 완성도","눈물과 콧물","9.58"
"949","연애의정령","연애코치가 왔다!","9.84"
"950","한 소리로 듣고 한 눈으로 보고","흑백단편/자유","9.85"
"951","새벽소리가 들린다","요정나라에서 펼쳐지는 달콤한 일상","9.70"
"952","그림자도마뱀사기극","소소한 유쾌 판타지","9.82"
"953","하이라몽","★ 하이 코미디 어드벤쳐 옴니버스 스쿨 판타지 ★","9.53"
"954","무림야구","삼국지 등장인물들이 펼치는 퓨젼 야구 만화!!!","9.47"
"955","슬기로운 생활","존잘남의 학교생활 분투기","9.85"
"956","CELL[셀]","특별한 죄인들을 가두는 감옥","9.86"
"957","4층복도끝천국","유령로맨스","9.86"
"958","선택게임","독자 선택 만화","9.87"
"959","하우 투 싸커 [How to soccer]","때는 바야흐로 인류 시즌7. 그 시대에는 없는 것이 하나 있었으니?","9.36"
"960","너라면 알까?","고교 성장 드라마","9.86"
"961","조금 더 가까이","관계를 들여다보기","9.85"
"962","뉴욕, 고양이 그리고 나","뉴욕에서 일러스트레이터로 일하는 그녀와 고양이의 소소한 이야기.","9.87"
"963","네크로맨서","현대판 네크로맨서의 일상","9.87"
"964","뷰티풀 군바리","여자가군대를가면?","9.74"
"965","행운의 서(書)","세 사람의 만남, 그로인해 다가오는 하나의 행운","9.87"
"966","5月하늘의돋보기","잃어버렸나요?","9.86"
"967","버드(BUD)","환생 판타지.","9.65"
"968","구름사냥","뜬구름 잡자규~","9.64"
"969","뿔뿔뿔뿔","미노타우로스 병을 앓고 있는 남자들의 사람사는 이야기","9.83"
"970","마미기숙사","여자기숙사에 남자가 산다!!","9.85"
"971","꾼","고교생들의 잔혹하고 고독한 도박세계","9.52"
"972","애플 에이지","성범죄 웹툰","9.88"
"973","이여인","이십대 여자 직장인","9.86"
"974","One Bite Of The Apple","단편만화 모음집","9.82"
"975","바리바리발발","하나뿐인 고양이 바리와 슈리,누리! 와의 게으른 주인의 일상.","9.86"
"976","신룡의 주인","마법학교에 입학?!","9.85"
"977","죽어도 숨은 쉰다","이승과 저승의 이야기","9.85"
"978","코코넨네","본격 아기 관찰 웹툰.","9.87"
"979","오빠의향기","판타지 코믹 순정만화","9.85"
"980","오토리버스","오토리버스","9.76"
"981","아이돌 스파이","아이돌이지만 원하는 단 하나를 가지지 못해 스파이가 된 철부지 '그놈'과 인생에서 포기를 먼저 배워 너무 일찍 철든 '그녀'와 만나면서 벌이는 로맨틱 액션코미디","9.72"
"982","오늘은 좀 더 낫겠지","어제보다 나은 오늘을 꿈꾸는 그녀의 시시콜콜한 이야기(수요일 연재)","9.68"
"983","수수께끼","첫사랑 누나?","9.85"
"984","그와 그녀와 그","다크순정판타지+개그.매월 10,20,30일연재.","9.86"
"985","꽃자국 길","환상 여행","9.85"
"986","죽지못해산다","죽지못해사는 여섯 남자 이야기","9.88"
"987","슈퍼 시크릿","소꿉친구의 일상판타지","9.85"
"988","롤랜드 엠블리","귀여운 친구들의 일상","9.49"
"989","블랙스완을 위한 변명","영국 빅토리아시대 로맨스","9.86"
"990","유쾌빽양의 사회적응기","일상생활에서 보고 들을 수 있는 일상사를 귀여운? 곰들과 함께 풀어가는 카툰~ 때론 과격하고 폭력하지만 다소 어리버리하고 바보같지만 귀여운 북극곰, 팬더, 불곰. 들의 일상사~","9.57"
"991","렌탈맨","렌탈맨","8.31"
"992","호랑이형님","호랑이 액션활극!!!","9.86"
"993","레이디 프로젝트","신랑감 찾기 프로젝트","9.86"
"994","에잇 뿔","우리..돈 없으면 사랑할 수 없나요?","9.83"
"995","천화","집착의 굴레","9.82"
"996","여자들의 뒷담화","세여자의 각자 다른 사랑이야기.","9.87"
"997","흑백인간","천재사이코들두뇌싸움","9.80"
"998","요런 요물들","한국의 요물들이 현대사회를 살아가는 이야기","9.86"
"999","그린애플","고딩 사계절이야기","9.80"
"1000","아메리카노","20대 첫사랑을 카페에 빗대어 그린 만화.","9.13"
"1001","무극","코믹+무협","9.84"
"1002","미다스의 아들","100일간의 이야기","9.85"
"1003","안녕 내 스물일곱","내 스물일곱 이야기","9.86"
"1004","뉴 빌런","악당들의 세대교체 이야기","9.82"
"1005","폭군의 궁전청소부","정식연재!","9.84"
"1006","혼생자(魂生子)","설화의 재해석.","9.86"
"1007","리플렉션","흡혈귀 동양 판타지","9.78"
"1008","안단테 노선생","누구나 싫어하고 꺼리는 공포의 치과.어느 치과 의사의 잔잔한 인생 이야기","9.70"
"1009","아이보리","초보 엄마 아빠 육아성장기","9.87"
"1010","난 너의 운명","운명적인 사랑이란!?","9.84"
"1011","고기해방연합","고기가 금지된 세상","9.85"
"1012","아르테","하늘과 땅의 사랑을 받는 아르테라 불리는  한소녀의 성장 이야기","9.87"
"1013","진실게임","거짓말을 하면 죽는다...!","9.86"
"1014","불가능한 연애","절대 연애가 안될 것 같은 두사람의 연애 방법.","9.86"
"1015","개집사일기","우리 개만 그런가?","9.80"
"1016","F&I","B급 느와르 액션 만화","9.65"
"1017","만물상","모든 물건을 파는 가게의 이야기","9.82"
"1018","인버스","본격 분열성 조장 만화","9.87"
"1019","신영웅전기","마법학자와 신영웅의 이야기","9.87"
"1020","해를쫓아별이된아이","해를쫓아별이된아이","9.85"
"1021","도나도나도나","돌고 도는 사람들","9.88"
"1022","천개의 소원","고교 일상 순정 만화 ★격주 토요일연재★","9.86"
"1023","우리집 장롱대마왕","하숙생 구해요!","9.79"
"1024","잊지않아","요정과사람이야기","9.55"
"1025","우바우(우리가 바라는 우리)","웃퍼","9.85"
"1026","미백클럽","궁극의 동아리","9.72"
"1027","펭귄테일","엉뚱펭귄 등장!","9.86"
"1028","시간나비","잃어버린 3년을 찾아서","9.11"
"1029","탄생석","능력자 판타지","9.86"
"1030","썸타임","매주 화요일 연재","9.86"
"1031","빨간눈 토끼","토끼눈은 원래 빨갛다!","8.53"
"1032","나 그리고","설명하기 힘든 마음들 그림으로 대신 설명해드릴게요","9.86"
"1033","수상한 전학생","신개념 좀비로맨스","9.85"
"1034","영어전쟁","전쟁같은 미국생활기","9.86"
"1035","소녀의 세계","소녀들의 우정물","9.85"
"1036","이온","☆★☆★","9.73"
"1037","망상특급열차","하는 거 없는 여행","9.64"
"1038","고추밭 표류기","귀농,농촌툰 아님","9.82"
"1039","룸메이트","우리는 흔녀.","9.57"
"1040","몬딕","몬스터 딕셔너리","9.88"
"1041","제왕의조건","퓨전판타지","9.81"
"1042","블랙 헤이즈","판타지","9.87"
"1043","백수탐정","대한민국에 탐정이 존재한다.","9.82"
"1044","안즈","'바람'의 8대를 찾아라.","9.78"
"1045","악제에피소드","악마 VS 인간","9.57"
"1046","빅플 크루","도자기 덕후의 일상툰^^","9.33"
"1047","코인","마왕과용사","9.80"
"1048","(2부)나는엄마다","엄마가 된 고등학생의 학교복귀 투쟁기","9.77"
"1049","HOOD","시체의 이야기","9.87"
"1050","프리템포","세 여자의 스펙타클하고 유머러스한 생활담","9.86"
"1051","산신 [山神]","한국설화 각색환타지","9.86"
"1052","카이제리온 (KAIXERION)","슈퍼 로맨스","9.54"
"1053","도닥도닥","3포세대 우리들","9.86"
"1054","오즈의 바보들","오즈의 이야기","9.89"
"1055","망각천사를 잡는 방법","천사와 싸우는 인간","9.76"
"1056","애오라지","옛날옛날에…","9.69"
"1057","마왕의 휴일","나를 위해 춤춰라.","9.87"
"1058","HOL(전설의 역사)","리그오브레전드 비하인드 스토리 -FANFIC-","9.40"
"1059","어메이징 결혼이야기","“내일은결혼”책출시","9.88"
"1060","아이들의404","울집에미친넘이떳다!","9.87"
"1061","날로 먹는 연애","사라진 친구 찾기","9.84"
"1062","묘생인생","두 괭이와 두 괭인의 일상","9.88"
"1063","환상음악단편선","환상음악단편선","9.69"
"1064","리바이어던","SF 드라마","9.70"
"1065","기적의 앱스토어","투시안경. 미래예지. 그런 물건이 내 손에 쥐어 진다면? 마법물품으로 인생역전을 이룬다!","9.86"
"1066","우애 좋은 삼남매","안과 밖이 다른 삼남매의 일상","9.85"
"1067","연애의 정석","남녀 사랑의 정석","9.70"
