"","comicName","comicSum","comicGrade"
"86","낯선자들의 보고서","다른이들의 시선으로 본 이방인","9.54"
"87","확률","세 사람","9.53"
"88","써라 그림일기","그림일기","9.23"
"89","CARNIVAL","준비중","9.52"
"90","'아동전문' 동화미술학원","요괴와 인간, 최후전선 동화미술학원의 오늘은...","9.70"
"91","견우와 직녀","견우와 직녀의 또 다른사정","9.57"
"92","위기의인생","피할 수 없는 위기의 이야기.","8.63"
"93","달려!!","야구를 사랑하는 고교생들의 이야기.","9.23"
"94","출동!인간퇴치 사무소","권리찾는 귀신들","9.59"
"95","스토커","누군가 당신을 지켜보고 있다면?....","9.77"
"96","포그이야기","포그이야기 Vol.4 - 서른 즈음을 살아가는 사람들의 이야기","8.28"
"97","철가방 익스프레스","좌충우돌 철가방 시트콤","9.65"
"98","[울지마]","미르+폭냥 = 울지마","9.64"
"99","나와너","나와너","9.77"
"100","블루로맨스(blue romance)","푸릇푸릇한 청춘","9.50"
"101","낭만다이어리","주낭만을 불러봐. 롸잇나우!","9.21"
"102","푸른 도마뱀","환타지 만화 입니다.","9.48"
"103","신의 탑","신의탑","9.73"
"104","살인자ㅇ난감","물건 파는 것도 아니고 카피는 무슨...","9.65"
"105","제페토","제페토 할아버지와 피노키오의 휴먼스토리","9.66"
"106","어느 공대생 이야기","어느 공대생 이야기","9.68"
"107","우리가 흘린 메모지들","판타지 휴머니즘, 드라마 단편선","9.57"
"108","사랑을 주세요","사랑을 주세요","9.67"
"109","참 잘했어요!","참 잘했어요!","9.67"
"110","Penguin loves Mev","한국여자, 영국남자.","9.76"
"111","스페이스 차이나드레스","코믹SF무협","9.63"
"112","까마귀의 편지","까마귀의 편지","9.61"
"113","환상주사위","환상학원모험물","9.69"
"114","오마이레이스(Oh! my lace)","아주 강력한 쇼핑몰이 온다!!!","9.74"
"115","봄봄","봄봄","9.75"
"116","내일은 만화왕","본격입시만화만화","9.71"
"117","낙원이야기","SF샤머니즘","8.18"
"118","양의 향수병","어른 동화","9.55"
"119","세가지색 클로버","3가지 인격의 주인공이 펼치는 액션만화~","9.54"
"120","지구방위 연구소","본격 4컷만화","9.74"
"121","델리의 말랑말랑","외로워도 슬퍼도 나는 안울어-","9.03"
"122","자취주부男 만화일기 / 금속문어","금속문어 - 자취주부男 만화일기","9.76"
"123","마녀가 되다.","도전!도전!","9.63"
"124","설뫼뎐","바위의 모험이야기!","9.75"
"125","기적이운다","기적이운다 연재공지","9.39"
"126","흑색논란","인간과 종(種)이 된 인간들의 전쟁","9.69"
"127","여자만화[구두]","여자만화","9.74"
"128","배추걸다이어리","나는야 미녀 배추걸","9.75"
"129","별과 바람과 꽃길의 왈츠","소년과 소녀의 모험 이야기","9.69"
"130","YUGA","뭐든지 다 이유가 있는 거 아니겠어?","9.69"
"131","조선명탐정 진현군","가상국 조선에서 추리세계가 펼쳐진다","9.77"
"132","라에스토나 (La Estona)","New Estona Project","9.63"
"133","쳇 세렌디피티","라 돌체비타","9.08"
"134","개와나","bye~","9.69"
"135","Guardian","수호자","9.75"
"136","어쿠스틱라이프",":","9.57"
"137","스물일곱","감동로맨스","9.56"
"138","잭과콩나물!!","본격 정신나간 콩나물vs잭 격투만화","9.45"
"139","앜","ㅋ","9.60"
"140","늑대의성","늑대와 달과 계약자.","9.75"
"141","스물둘*","유냐 ;)","9.43"
"142","무령[巫鈴] the kinslayer","인간과 인간이 아닌 자. 그리고 인과율에 따라 그 두 세계를 잇는 소녀의 이야기.","9.74"
"143","LOST","잃어버린 자들의 이야기.","9.67"
"144","별의 유언","그가보는이야기","9.69"
"145","소년전[Limit]","판타지 코믹액션","9.42"
"146","들어는 보았나! 질풍기획!","오늘을 사는 우리네의 질풍같은 이야기","9.71"
"147","STUPOR MUNDI","중세역사판타지","9.31"
"148","그런지(grunge)","밴드만화!","9.69"
"149","폭력의신","스타일리시 리얼액션","9.62"
"150","잠이오냐","학원과 집에서 벌어지는 일상 개그만화","9.76"
"151","이별에서 이별하는 법","이별만화","9.83"
"152","카페,롤링페이퍼(CAFE,ROLLING PAPER)","그와 내가 진정한 가족이 될 수 있을까?","9.76"
"153","와일드 (THE WILD)","와일드한 녀석들의 와일드한 만화","8.84"
"154","안개숲에살다","전생으로 부터의 기다림, 알수없는 운명이 안개숲으로 이끈다.","9.70"
"155","저스트 나우","하고싶은걸 시작할'때'는 내일도 모래도 아닌 그냥 지금","9.57"
"156","PWAP(피와피)","피와 피가 얽힌...","9.76"
"157","방울토마토","민훈이 고딩이야기","9.75"
"158","옆집화랑","옆집에 화랑이 산다","9.74"
"159","클래비쇼","초대박 프로젝트","8.88"
"160","녹색문","녹색문","9.75"
"161","미친4컷 2010","4컷만화.","9.74"
"162","SORRY MAN","우리집에 살인마가 왓다.","9.67"
"163","관유의 상자세상","현재 예속요를 연재 중입니다.","9.27"
"164","엔파이터즈","격투 게임의 최고가 되는 그날까지","9.13"
"165","시간의 섬","마지막 공지","9.67"
"166","누구세요","고양이라서 미안해","9.62"
"167","인터뷰","스릴러","6.44"
"168","아멜리아","유쾌한 일상으로 만들어 가는 청춘의 기록","9.70"
"169","Scapegoat","Scapegoat","9.63"
"170","하트먼트","정많은 아파트 이웃사람들과의 우당탕 즐거운 에피소드","9.74"
"171","HAVEN's","헤이븐","9.41"
"172","케이쿤 이야기","일상 개그만화","9.38"
"173","슭의 말년휴가","슭의 군대이야기","9.02"
"174","페이백 [완]","판타지소년만화","9.45"
"175","seal","루이","7.98"
"176","파푸리안","그와그녀","9.54"
"177","기세기세 (기네스 세계 기록 세우기)","기네스 세계 기록을 세우려는 한 소년의 도전이 시작된다!","9.59"
"178","컵씨의 마음차","여유만만 티타임","9.66"
"179","발타인(BALTAINE)","개그RPG만화","9.55"
"180","사랑의 아쿠아리움","사실개그만화","9.63"
"181","아이디어맨","순정만화","9.48"
"182","봄이여 오라","현대판타지로맨스","9.68"
"183","크리퍼스큘(Crepuscule)","뱀파이어 학원 판타지","9.74"
"184","어서와","어느 자취생의 이야기","9.82"
"185","피노키오","그들의발랄한일상생활","9.75"
"186","잉코무뚜","제국과 마법, 그리고 소수종족 잉코와 무뚜의 이야기","9.57"
"187","잡았다","그냥 이별 만화.","9.74"
"188","싸바? 싸바!","쌈바 아니고 싸바 (Ca va?  Ca va!)","9.59"
"189","LAYERS","학원액션판타지서스펜스로망이능력배틀물","9.71"
"190","자취방의 금수들","먹어도 먹어도 배고프고, 자도자도 졸린 삶.☆자취하는 금수들의 그림일기☆http://blog.naver.com/npsngs","9.68"
"191","선인장과 라디오","그들이 말했다.","9.75"
"192","천체의 성","천체의 성을 지키기 위한 태양소년과 친구들의 모험.","9.55"
"193","매진녀 밀리케이","매사에 진지한 녀자 밀리케이","9.64"
"194","Soul Guide -소울 가이드-","저승사자 프로젝트!","9.65"
"195","마음을 주세요","괴수녀의 마음을 뺏어라.","9.22"
"196","사신전","사신전","9.73"
